19/01/2023 17:29:43 => Encoder Linear : 0.0 , Encoder Angular : 0.003
19/01/2023 17:29:43 => Encoder Linear : 0.0 , Encoder Angular : 0.003
19/01/2023 17:29:43 => Encoder Linear : 0.0 , Encoder Angular : 0.003
19/01/2023 17:29:43 => Encoder Linear : 0.0 , Encoder Angular : 0.003
19/01/2023 17:29:43 => Encoder Linear : 0.0 , Encoder Angular : 0.003
19/01/2023 17:29:43 => Encoder Linear : 0.0 , Encoder Angular : 0.003
19/01/2023 17:29:43 => Encoder Linear : 0.0 , Encoder Angular : 0.003
19/01/2023 17:29:43 => Encoder Linear : 0.0 , Encoder Angular : 0.003
19/01/2023 17:29:43 => Encoder Linear : 0.0 , Encoder Angular : 0.003
19/01/2023 17:29:43 => Encoder Linear : 0.0 , Encoder Angular : 0.003
19/01/2023 17:29:55 => Encoder Linear : 0.001 , Encoder Angular : -0.004
19/01/2023 17:29:55 => Encoder Linear : 0.005 , Encoder Angular : 0.017
19/01/2023 17:29:55 => Encoder Linear : 0.005 , Encoder Angular : 0.017
19/01/2023 17:29:55 => Encoder Linear : 0.005 , Encoder Angular : 0.017
19/01/2023 17:29:55 => Encoder Linear : 0.005 , Encoder Angular : 0.017
19/01/2023 17:29:55 => Encoder Linear : 0.005 , Encoder Angular : 0.017
19/01/2023 17:29:55 => Encoder Linear : 0.005 , Encoder Angular : 0.017
19/01/2023 17:29:55 => Encoder Linear : 0.005 , Encoder Angular : 0.017
19/01/2023 17:29:55 => Encoder Linear : 0.005 , Encoder Angular : 0.017
19/01/2023 17:29:55 => Encoder Linear : 0.005 , Encoder Angular : 0.017
19/01/2023 17:29:55 => Encoder Linear : 0.005 , Encoder Angular : 0.017
19/01/2023 17:29:55 => Encoder Linear : 0.045 , Encoder Angular : -0.171
19/01/2023 17:29:55 => Encoder Linear : 0.081 , Encoder Angular : -0.001
19/01/2023 17:29:55 => Encoder Linear : 0.081 , Encoder Angular : -0.001
19/01/2023 17:29:55 => Encoder Linear : 0.081 , Encoder Angular : -0.001
19/01/2023 17:29:55 => Encoder Linear : 0.081 , Encoder Angular : -0.001
19/01/2023 17:29:55 => Encoder Linear : 0.081 , Encoder Angular : -0.001
19/01/2023 17:29:55 => Encoder Linear : 0.081 , Encoder Angular : -0.001
19/01/2023 17:29:55 => Encoder Linear : 0.081 , Encoder Angular : -0.001
19/01/2023 17:29:55 => Encoder Linear : 0.081 , Encoder Angular : -0.001
19/01/2023 17:29:55 => Encoder Linear : 0.081 , Encoder Angular : -0.001
19/01/2023 17:29:55 => Encoder Linear : 0.167 , Encoder Angular : -0.41
19/01/2023 17:29:55 => Encoder Linear : 0.213 , Encoder Angular : -0.187
19/01/2023 17:29:55 => Encoder Linear : 0.213 , Encoder Angular : -0.187
19/01/2023 17:29:55 => Encoder Linear : 0.213 , Encoder Angular : -0.187
19/01/2023 17:29:55 => Encoder Linear : 0.213 , Encoder Angular : -0.187
19/01/2023 17:29:55 => Encoder Linear : 0.213 , Encoder Angular : -0.187
19/01/2023 17:29:55 => Encoder Linear : 0.213 , Encoder Angular : -0.187
19/01/2023 17:29:55 => Encoder Linear : 0.213 , Encoder Angular : -0.187
19/01/2023 17:29:55 => Encoder Linear : 0.213 , Encoder Angular : -0.187
19/01/2023 17:29:55 => Encoder Linear : 0.213 , Encoder Angular : -0.187
19/01/2023 17:29:55 => Encoder Linear : 0.251 , Encoder Angular : -0.369
19/01/2023 17:29:55 => Encoder Linear : 0.269 , Encoder Angular : -0.285
19/01/2023 17:29:55 => Encoder Linear : 0.269 , Encoder Angular : -0.285
19/01/2023 17:29:55 => Encoder Linear : 0.269 , Encoder Angular : -0.285
19/01/2023 17:29:55 => Encoder Linear : 0.269 , Encoder Angular : -0.285
19/01/2023 17:29:55 => Encoder Linear : 0.269 , Encoder Angular : -0.285
19/01/2023 17:29:55 => Encoder Linear : 0.269 , Encoder Angular : -0.285
19/01/2023 17:29:55 => Encoder Linear : 0.269 , Encoder Angular : -0.285
19/01/2023 17:29:55 => Encoder Linear : 0.269 , Encoder Angular : -0.285
19/01/2023 17:29:55 => Encoder Linear : 0.269 , Encoder Angular : -0.285
19/01/2023 17:29:55 => Encoder Linear : 0.24 , Encoder Angular : -0.147
19/01/2023 17:29:55 => Encoder Linear : 0.24 , Encoder Angular : -0.145
19/01/2023 17:29:55 => Encoder Linear : 0.24 , Encoder Angular : -0.145
19/01/2023 17:29:55 => Encoder Linear : 0.24 , Encoder Angular : -0.145
19/01/2023 17:29:55 => Encoder Linear : 0.24 , Encoder Angular : -0.145
19/01/2023 17:29:55 => Encoder Linear : 0.24 , Encoder Angular : -0.145
19/01/2023 17:29:55 => Encoder Linear : 0.24 , Encoder Angular : -0.145
19/01/2023 17:29:55 => Encoder Linear : 0.24 , Encoder Angular : -0.145
19/01/2023 17:29:55 => Encoder Linear : 0.24 , Encoder Angular : -0.145
19/01/2023 17:29:55 => Encoder Linear : 0.24 , Encoder Angular : -0.145
19/01/2023 17:29:55 => Encoder Linear : 0.272 , Encoder Angular : -0.298
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.382
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.382
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.382
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.382
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.382
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.382
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.382
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.382
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.382
19/01/2023 17:29:55 => Encoder Linear : 0.247 , Encoder Angular : -0.345
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.307
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.307
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.307
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.307
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.307
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.307
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.307
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.307
19/01/2023 17:29:55 => Encoder Linear : 0.255 , Encoder Angular : -0.307
19/01/2023 17:29:55 => Encoder Linear : 0.259 , Encoder Angular : -0.328
19/01/2023 17:29:55 => Encoder Linear : 0.261 , Encoder Angular : -0.322
19/01/2023 17:29:55 => Encoder Linear : 0.261 , Encoder Angular : -0.322
19/01/2023 17:29:55 => Encoder Linear : 0.261 , Encoder Angular : -0.322
19/01/2023 17:29:55 => Encoder Linear : 0.261 , Encoder Angular : -0.322
19/01/2023 17:29:55 => Encoder Linear : 0.261 , Encoder Angular : -0.322
19/01/2023 17:29:55 => Encoder Linear : 0.261 , Encoder Angular : -0.322
19/01/2023 17:29:55 => Encoder Linear : 0.253 , Encoder Angular : -0.286
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.257
19/01/2023 17:29:56 => Encoder Linear : 0.237 , Encoder Angular : -0.262
19/01/2023 17:29:56 => Encoder Linear : 0.237 , Encoder Angular : -0.262
19/01/2023 17:29:56 => Encoder Linear : 0.237 , Encoder Angular : -0.262
19/01/2023 17:29:56 => Encoder Linear : 0.237 , Encoder Angular : -0.262
19/01/2023 17:29:56 => Encoder Linear : 0.237 , Encoder Angular : -0.262
19/01/2023 17:29:56 => Encoder Linear : 0.237 , Encoder Angular : -0.262
19/01/2023 17:29:56 => Encoder Linear : 0.237 , Encoder Angular : -0.262
19/01/2023 17:29:56 => Encoder Linear : 0.237 , Encoder Angular : -0.262
19/01/2023 17:29:56 => Encoder Linear : 0.237 , Encoder Angular : -0.262
19/01/2023 17:29:56 => Encoder Linear : 0.248 , Encoder Angular : -0.314
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.304
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.243 , Encoder Angular : -0.265
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
