name,mode,timer,pin,x,y,z,qx,qy,qz,qw
WP0,A,1,D,0.00,0.000,0.0,0.0,0.0,-0.0025822186551388393,0.999996666067851
WP1,A,1,D,21.95329284667969,-26.571711349487305,0.0,0.0,0.0,0.701779247389591,0.712394474945798
WP2,A,1,D,21.667049407958984,-26.628170013427734,0.0,0.0,0.0,0.9999718813243692,0.00749910398658913
WP3,A,1,D,21.667049407958984,-26.628170013427734,0.0,0.0,0.0,0.9999718813243692,0.00749910398658913
WP4,A,1,D,21.667049407958984,-26.628170013427734,0.0,0.0,0.0,0.9999718813243692,0.00749910398658913
WP5,A,1,D,21.667049407958984,-26.628170013427734,0.0,0.0,0.0,0.9999718813243692,0.00749910398658913
WP6,A,1,D,21.667049407958984,-26.628170013427734,0.0,0.0,0.0,0.9999718813243692,0.00749910398658913
WP7,A,1,D,21.667049407958984,-26.628170013427734,0.0,0.0,0.0,0.9999718813243692,0.00749910398658913
WP8,A,1,D,21.667049407958984,-26.628170013427734,0.0,0.0,0.0,0.9999718813243692,0.00749910398658913
WP9,A,1,D,72.19760675439045,-26.036859501962464,0.0,0.0,0.0,0.701779247389591,0.712394474945798
WP10,A,1,D,56.838233619484456,-27.61986096812184,0.0,0.0,0.0,0.7123129285885661,0.7018620176114251
WP11,A,1,D,56.00757635555688,-27.619311082259045,0.0,0.0,0.0,0.7123129285885661,0.7018620176114251
