from_node,to_node,mode
# ==========================================
# 1. ช่วง Material Room <-> Line1
# ==========================================
Material Room,wy1,bidirectional
wy1,wy2,bidirectional
wy2,Line1,bidirectional

# ==========================================
# 2. ช่วง Line1 <-> Line2
# ==========================================
Line1,wy3,bidirectional
wy3,Line2,bidirectional

# ==========================================
# 2. ช่วง Line2 <-> Line3
# ==========================================
Line2,wy4,bidirectional
wy4,wy5,bidirectional
wy5,Line3,bidirectional
