name,mode,timer,pin,x,y,z,qx,qy,qz,qw
Material Room,Auto,1,Up,0,0,0.0,0.0,0.0,0.0,1.0,0
Line1,Auto,1,Up,6.044305515289307,9.666950225830078,0.0,0.0,0.0,0.7,0.7,0
Line2,Auto,1,Up,17.454092025756836,9.866950225830078,0.0,0.0,0.0,0.7,0.7,0
Line3,Auto,1,Up,33.56394577026367,10.066950225830078,0.0,0.0,0.0,0.7,0.70,0
Line4,Auto,1,Up,41.56394577026367,10.266950225830078,0.0,0.0,0.0,0.7,0.70,0
Line5,Auto,1,Up,8.44426155090332,-15.8077392578125,0.0,0.0,0.0,0.7,0.7,0
Line6,Auto,1,Up,15.928034782409668,-16.45004653930664,0.0,0.0,0.0,0.7,0.7,0
Line7,Auto,1,Up,17.015830993652344,-16.40004653930664,0.0,0.0,0.0,0.7,0.7,0
Line8,Auto,1,Up,23.89704132080078,-16.30004653930664,0.0,0.0,0.0,0.7,0.7,0
Line9,Auto,1,Up,25.17603874206543,-16.25004653930664,0.0,0.0,0.0,0.7,0.7,0
Line10,Auto,1,Up,32.769805908203125,-16.1004653930664,0.0,0.0,0.0,0.7,0.7,0
Line11,Auto,1,Up,40.36906433105469,-16.0004653930664,0.0,0.0,0.0,0.7,0.7,0
Line12,Auto,1,Up,50.29350280761719,-11.298759460449219,0.0,0.0,0.0,0.7,0.7,0
