name,mode,timer,pin,x,y,z,qx,qy,qz,qw
Material Room,Auto,1,Up,-0.2,-0.1,0.0,0.0,0.0,0.0,1.0,0
AIPP2,Auto,1,Up,5.804305515289307,8.466950225830078,0.0,0.0,0.0,0.7,0.7,0
AIPP5,Auto,1,Up,17.354092025756836,8.666950225830078,0.0,0.0,0.0,0.7,0.7,0
AIPP7,Auto,1,Up,22.00394577026367,8.666950225830078,0.0,0.0,0.0,0.7,0.70,0
AIPP9,Auto,1,Up,29.46394577026367,9.206950225830078,0.0,0.0,0.0,0.7,0.70,0
AIAS1,Auto,1,Up,8.04426155090332,-22.5077392578125,0.0,0.0,0.0,0.7,0.7,0
AIAS2,Auto,1,Up,16.6305830993652344,-21.00004653930664,0.0,0.0,0.0,0.7,0.7,0
AIAS3,Auto,1,Up,16.6305830993652344,-21.00004653930664,0.0,0.0,0.0,0.7,0.7,0
AIAS4,Auto,1,Up,24.50704132080078,-20.90004653930664,0.0,0.0,0.0,0.7,0.7,0
AIAS5,Auto,1,Up,24.50704132080078,-20.90004653930664,0.0,0.0,0.0,0.7,0.7,0
AIAS6,Auto,1,Up,32.969805908203125,-20.50004653930664,0.0,0.0,0.0,0.7,0.7,0
AIAS8,Auto,1,Up,40.36906433105469,-19.0004653930664,0.0,0.0,0.0,0.7,0.7,0
AIAS10,Auto,1,Up,49.04350280761719,-20.898759460449219,0.0,0.0,0.0,0.7,0.7,0
