name,mode,timer,pin,x,y,z,qx,qy,qz,qw
Material Room,Auto,1,Up,-0.29,2.9,0.0,0.0,0.0,0.0,1.0,0
Line11,Auto,1,Up,5.804305515289307,8.466950225830078,0.0,0.0,0.0,0.7,0.7,0
Line12,Auto,1,Up,22.00394577026367,8.666950225830078,0.0,0.0,0.0,0.7,0.70,0
Line13,Auto,1,Up,22.00394577026367,8.666950225830078,0.0,0.0,0.0,0.7,0.70,0
Line14,Auto,1,Up,29.66394577026367,9.206950225830078,0.0,0.0,0.0,0.7,0.70,0
Line1,Auto,1,Up,7.94426155090332,-13.8077392578125,0.0,0.0,0.0,0.7,0.7,0
Line2,Auto,1,Up,16.5805830993652344,-13.50004653930664,0.0,0.0,0.0,0.7,0.7,0
Line3,Auto,1,Up,16.5805830993652344,-13.50004653930664,0.0,0.0,0.0,0.7,0.7,0
Line4,Auto,1,Up,24.20704132080078,-13.60004653930664,0.0,0.0,0.0,0.7,0.7,0
Line5,Auto,1,Up,24.200704132080078,-13.60004653930664,0.0,0.0,0.0,0.7,0.7,0
Line6,Auto,1,Up,32.769805908203125,-12.00004653930664,0.0,0.0,0.0,0.7,0.7,0
Line8,Auto,1,Up,40.21906433105469,-12.7004653930664,0.0,0.0,0.0,0.7,0.7,0
Line10,Auto,1,Up,47.24350280761719,-11.15759460449219,0.0,0.0,0.0,0.7,0.7,0
