name,mode,timer,pin,x,y,z,qx,qy,qz,qw,theta
Mat'l AI,Auto,1,Down,67.9602737426758,24.0335903167725,0,0,0,-0.7,0.7,0
Line AS 2-3 AI,Auto,1,Up,58.581298828125,3.80400824546814,0,0,0,-0.7,0.7,0
Line AS 4-5 AI,Auto,1,Up,50.6756591796875,4.70092868804932,0,0,0,-0.7,0.7,0
Line AS 6 AI,Auto,1,Up,42.3511276245117,4.35246658325195,0,0,0,-0.7,0.7,0
Line AS 7 AI,Auto,1,Up,34.7481918334961,5.06827735900879,0,0,0,-0.7,0.7,0
Line AS 10 AI,Auto,1,Up,27.140251159668,4.99692058563232,0,0,0,-0.7,0.7,0
Line 9-10 JC,Auto,1,Up,24.6080303192139,-1.64269292354584,0,0,0,0.7,0.7,0
Line AS 11 AI,Auto,1,Up,18.7943115234375,-0.438674449920654,0,0,0,0.7,0.7,0
Line 1-2 JC,Auto,1,Up,14.0787878036499,0.80771279335022,0,0,0,0.7,0.7,0
Line 3-4 JC,Auto,1,Up,6.6,1.16,0,0,0,0.7,-0.7,0
Line 5-6 JC,Auto,1,Up,0.07,-17,0,0,0,1,1,0
Mat'l JC,Auto,1,Up,-0.8,-5.8,0,0,0,0,0.7,0
