name,mode,timer,pin,x,y,z,qx,qy,qz,qw
Material Room,Auto,1,Up,1.2,0.00,0.0,0.0,0.0,-0.0025822186551388393,0.999996666067851,0
Line1,Auto,1,Up,72.00462676915099,-13.369877022578141,0.0,0.0,0.0,-0.7013129285885661,0.7128620176114251,0
Line2,Auto,1,Up,72.00462676915099,-13.369877022578141,0.0,0.0,0.0,-0.7013129285885661,0.7128620176114251,0
Line3,Auto,1,Up,44.95657761515739,-20.451114974715416,0.0,0.0,0.0,0.6991784151983265,-0.7149472314239397,0
Line4,Auto,1,Up,44.95657761515739,-20.451114974715416,0.0,0.0,0.0,0.6991784151983265,-0.7149472314239397,0
Line5,Auto,1,Up,31.30873513528374,-22.698406813068726,0.0,0.0,0.0,0.696821980106186,0.7172441202553662,0
Line6,Auto,1,Up,31.30873513528374,-22.698406813068726,0.0,0.0,0.0,0.696821980106186,0.7172441202553662,0
Line7,Auto,1,Up,14.037485544118212,-22.731986164022365,0.0,0.0,0.0,0.7123129285885661,0.7018620176114251,0
Line8,Auto,1,Up,14.037485544118212,-22.731986164022365,0.0,0.0,0.0,0.7123129285885661,0.7018620176114251,0
Line9,Auto,1,Up,72.20028992395387,-26.105788876503396,0.0,0.0,0.0,0.7096938184905248,0.7045102440677058,0
Line10,Auto,1,Up,56.00757635555688,-27.719311082259045,0.0,0.0,0.0,0.7123129285885661,0.7018620176114251,0
Line11,Auto,1,Up,56.00757635555688,-27.719311082259045,0.0,0.0,0.0,0.7123129285885661,0.7018620176114251,0
Line12,Auto,1,Up,39.35579703281993,-27.975856881973003,0.0,0.0,0.0,0.7123129285885661,0.7018620176114251,0
Line13,Auto,1,Up,38.6079703281993,-27.975856881973003,0.0,0.0,0.0,0.7123129285885661,0.7018620176114251,0
Line14,Auto,1,Up,23.773540406286198,-28.41617270038784,0.0,0.0,0.0,0.710225018646946,0.7039747317112625,0
Line15,Auto,1,Up,76.26057316192279,-26.474193866942596,0.0,0.0,0.0,0.9997001086240076,-0.02448862628134424,0
FG1,Auto,1,Up,4.99660606590755,-9.807281819764502,0.0,0.0,0.0,0.004341287165901949,0.999990576568471,0
FG2,Auto,1,Up,14.037485544118212,-22.731986164022365,0.0,0.0,0.0,0.7123129285885661,0.7018620176114251,0
FG3,Auto,1,Up,62.463104824614554,-22.7393217260607,0.0,0.0,0.0,0.704030505436541,0.7101697314126868,0
FG4,Auto,1,Up,56.00757635555688,-27.719311082259045,0.0,0.0,0.0,0.7123129285885661,0.7018620176114251,0
FG5,Auto,1,Up,30.95606682942,-25.459497452196493,0.0,0.0,0.0,-0.7082434416583789,0.7059682906107712,0
