name,mode,timer,pin,x,y,z,qx,qy,qz,qw,theta
Material Room,Manual,1,Up,6.25108003616333,-32.14325714111328,0.0,0.0,0.0,0.7043707941928852,0.7098322226329856,0
Line1,Auto,1,Up,8.005581855773926,-14.005597114562988,0.0,0.0,0.0,0.7069062756657998,0.7073072298685406,0
Line2,Auto,1,Up,11.984407424926758,-13.999156951904297,0.0,0.0,0.0,0.7064932098045377,0.7077198206211844,0
Line3,Auto,1,Up,16.727863311767578,-14.018796920776367,0.0,0.0,0.0,0.7018861588506768,0.7122891407383959,0
Line4,Auto,1,Up,20.624258041381836,-13.918721199035645,0.0,0.0,0.0,0.7076116197933172,0.7066015818928499,0
Line5,Auto,1,Up,24.431983947753906,-13.946144104003906,0.0,0.0,0.0,0.7111951837151781,0.7029946021559016,0
Line6,Auto,1,Up,28.68435287475586,-13.797496795654297,0.0,0.0,0.0,0.7063416708817859,0.7078710645138188,0
Line7,Auto,1,Up,32.767822265625,-13.879740715026855,0.0,0.0,0.0,0.7129421686485655,0.7012228348839479,0
Line8,Auto,1,Up,40.25318145751953,-14.11506462097168,0.0,0.0,0.0,0.7198713815067946,0.6941074802128983,0
Line9,Auto,1,Up,48.54414367675781,-14.15311050415039,0.0,0.0,0.0,0.7054171824791438,0.7087923522888677,0
Line10,Auto,1,Up,57.20757293701172,-13.51805591583252,0.0,0.0,0.0,0.7181119238384668,0.6959276290254728,0
Line11,Auto,1,Up,61.48873519897461,-3.7064383029937744,0.0,0.0,0.0,0.7144938549970924,0.6996417162886972,0
Line12,Auto,1,Up,50.12229537963867,11.033374786376953,0.0,0.0,0.0,-0.7019693248626987,0.7122071797951823,0
Line13,Auto,1,Up,61.98392868041992,11.528820991516113,0.0,0.0,0.0,-0.7019688579031322,0.712207640041984,0
