name,x,y,z,qx,qy,qz,qw
wy1,8.1722,-30.6775,0.0,0.0,0.0,0.7091,0.7051
wy2,8.304,-27.4392,0.0,0.0,0.0,0.7137,0.7004
wy3,8.1452,-22.004,0.0,0.0,0.0,0.7114,0.7028
wy4,7.9955,-17.0044,0.0,0.0,0.0,0.7159,0.6982
wy5,7.9813,-11.0264,0.0,0.0,0.0,0.7128,0.7013
wy6,9.9981,-10.9609,0.0,0.0,0.0,-0.0015,1.0
wy7,12.0015,-10.9975,0.0,0.0,0.0,0.005,1.0
wy8,11.9836,-12.2642,0.0,0.0,0.0,-0.7079,0.7063
wy9,14.0139,-10.0001,0.0,0.0,0.0,0.0026,1.0
wy10,16.5999,-9.9723,0.0,0.0,0.0,-0.0124,0.9999
wy11,16.7234,-11.7017,0.0,0.0,0.0,-0.7015,0.7127
wy12,18.9246,-10.026,0.0,0.0,0.0,0.0263,0.9997
wy13,20.5278,-9.986,0.0,0.0,0.0,0.0164,0.9999
wy14,20.6696,-11.5774,0.0,0.0,0.0,-0.7021,0.712
wy15,22.5466,-10.002,0.0,0.0,0.0,0.0059,1.0
wy16,24.2827,-10.7057,0.0,0.0,0.0,0.0125,0.9999
wy17,24.4088,-12.0973,0.0,0.0,0.0,-0.7011,0.713
wy18,26.9483,-10.4708,0.0,0.0,0.0,0.0064,1.0
wy19,28.6432,-10.4602,0.0,0.0,0.0,0.0188,0.9998
wy20,28.7388,-11.737,0.0,0.0,0.0,-0.6987,0.7154
wy21,30.4855,-10.3815,0.0,0.0,0.0,0.0099,1.0
wy22,32.533,-10.3604,0.0,0.0,0.0,0.0142,0.9999
wy23,32.8485,-11.7185,0.0,0.0,0.0,-0.7201,0.6939
wy24,34.9495,-10.3208,0.0,0.0,0.0,0.0025,1.0
wy25,37.1138,-10.2386,0.0,0.0,0.0,0.0025,1.0
wy26,39.9889,-10.1603,0.0,0.0,0.0,0.0164,0.9999
wy27,40.2796,-11.7974,0.0,0.0,0.0,-0.7028,0.7114
wy28,42.7037,-10.0766,0.0,0.0,0.0,-0.0037,1.0
wy29,45.8144,-10.0306,0.0,0.0,0.0,0.0142,0.9999
wy30,48.333,-9.8606,0.0,0.0,0.0,-0.0091,1.0
wy31,48.4895,-11.6313,0.0,0.0,0.0,-0.7106,0.7036
wy32,51.4272,-9.7798,0.0,0.0,0.0,0.0211,0.9998
wy33,54.2731,-9.672,0.0,0.0,0.0,0.0053,1.0
wy34,57.0181,-9.6034,0.0,0.0,0.0,-0.0024,1.0
wy35,57.2236,-11.4848,0.0,0.0,0.0,-0.7148,0.6993
wy36,59.8248,-9.5235,0.0,0.0,0.0,-0.0032,1.0
wy37,61.7243,-9.4345,0.0,0.0,0.0,-0.0004,1.0
wy38,61.9441,-7.1788,0.0,0.0,0.0,0.7136,0.7006
wy39,61.5176,-5.2942,0.0,0.0,0.0,0.7125,0.7017
wy40,61.5812,-0.0095,0.0,0.0,0.0,0.7106,0.7036
wy41,61.5348,4.0549,0.0,0.0,0.0,0.717,0.6971
wy42,61.6173,8.4065,0.0,0.0,0.0,0.7073,0.7069
wy43,62.0193,10.2643,0.0,0.0,0.0,0.7144,0.6997
